Time,P_load3,P_load4,const_0V,delta1,delta2,delta3,delta4,factor1,factor2,factor3,factor4,sigma1,sigma2,sigma3,sigma4
0.014,1.1982802,3.606309e-05,0.0,668.32526,503.9557,405.41107,876.4285,118.06223,66.76201,259.88037,0.0,786.3875,570.7177,665.29144,876.4285
0.0142,2.3301442,0.12574957,0.0,700.2784,508.209,426.536,880.48694,109.16863,82.76057,241.12265,0.0,809.447,590.9696,667.6587,880.48694
0.0144,4.2991962,0.6692421,0.0,726.8047,507.32065,441.44162,881.3426,101.3577,98.908806,224.69504,0.0,828.16235,606.22943,666.13666,881.3426
0.0146,7.4535775,1.9423257,0.0,746.9066,505.23486,453.83408,877.0084,93.383095,111.99872,207.8791,0.0,840.28973,617.2336,661.7132,877.0084
0.0148,12.189116,4.3174715,0.0,761.13434,501.96722,464.3891,866.94403,84.794655,122.35605,189.69601,0.0,845.929,624.3233,654.08514,866.94403
0.015,18.939426,8.214251,0.0,776.8109,482.21832,465.21402,851.4242,75.649055,144.60574,170.26134,0.0,852.45996,626.8241,635.47534,851.4242
0.0152,27.88474,14.08127,0.0,829.65717,399.80154,450.31473,813.19727,53.072147,230.80502,121.18774,0.0,882.7293,630.60657,571.50244,813.19727
0.0154,38.9501,22.334166,0.0,889.33514,324.64243,466.39227,736.06165,8.381001,316.34222,23.842306,0.0,897.7161,640.9847,490.2346,736.06165
0.0156,52.247158,33.270573,0.0,927.7947,282.97586,510.0344,633.2101,46.9001,366.96292,0.0,108.676254,880.8946,649.9388,510.0344,741.88635
0.0158,68.06181,47.04718,0.0,938.7552,256.9146,550.2923,527.3036,97.026146,390.8002,0.0,218.15472,841.729,647.71484,550.2923,745.4583
0.016,86.747444,63.728313,0.0,901.82056,227.45012,557.025,419.53824,131.5884,388.1748,0.0,293.6045,770.2322,615.62494,557.025,713.14276
0.0162,108.450554,83.27803,0.0,822.5263,184.0741,523.08185,313.65414,148.96338,369.28723,0.0,331.42004,673.5629,553.3613,523.08185,645.0742
0.0164,132.98395,105.155685,0.0,714.0515,135.15485,454.33948,228.59247,145.78209,336.48068,0.0,324.28104,568.2694,471.63553,454.33948,552.87354
0.0166,159.83325,129.03665,0.0,594.0369,93.96646,376.44235,159.04453,132.54143,291.59448,0.0,295.19183,461.4955,385.56094,376.44235,454.23636
0.0168,188.37495,154.74629,0.0,479.36865,61.95301,307.26764,94.61581,120.09536,243.85938,0.0,267.84033,359.2733,305.81238,307.26764,362.45615
0.017,218.05467,182.06944,0.0,381.42392,31.865099,250.44235,31.15442,113.1037,204.93951,0.0,252.37016,268.32022,236.80461,250.44235,283.52457
0.0172,248.42848,210.67365,0.0,301.49023,0.37072572,203.0998,30.824041,111.117424,177.57253,0.0,186.13478,190.37282,177.94325,203.0998,216.95882
0.0174,279.12628,240.12411,0.0,233.08917,32.62579,161.73628,89.463776,111.41945,93.420654,0.0,69.22359,121.66973,126.04645,161.73628,158.68736
0.0176,309.80664,269.92978,0.0,168.65558,61.851086,122.967735,143.00256,80.42794,15.739763,0.0,0.0,88.22763,77.59085,122.967735,143.00256
0.0178,340.11545,299.59253,0.0,104.10215,87.94426,83.68061,190.52444,24.160572,0.0,64.78667,0.0,128.26273,87.94426,148.46729,190.52444
0.018,369.65103,328.6399,0.0,38.81099,112.429146,42.445633,232.52716,126.08057,0.0,136.02547,0.0,164.89156,112.429146,178.4711,232.52716
0.0182,397.95596,356.63495,0.0,26.41099,135.8681,0.20001677,270.71054,172.7488,0.0,205.7684,0.0,199.15979,135.8681,205.96843,270.71054
0.0184,424.54678,383.16806,0.0,90.64765,157.62688,40.937954,306.94022,140.93704,0.0,190.74165,0.0,231.58469,157.62688,231.6796,306.94022
0.0186,448.9606,407.84494,0.0,153.06708,177.20496,79.45489,342.27362,109.299934,0.0,176.50522,0.0,262.367,177.20496,255.9601,342.27362
0.0188,470.7882,430.2821,0.0,212.97014,194.83882,115.082436,376.71796,78.614746,0.6221932,163.893,0.0,291.5849,195.46101,278.97543,376.71796
0.019,489.68256,450.11395,0.0,265.08945,212.90442,148.0478,407.05478,70.81209,19.761961,152.51268,0.0,335.90152,232.66638,300.5605,407.05478
0.0192,505.35913,467.007,0.0,306.8116,230.75368,177.27197,430.9245,65.81671,32.776466,142.06503,0.0,372.62833,263.53015,319.337,430.9245
0.0194,517.6119,480.7693,0.0,342.8569,244.53732,201.05447,451.43616,61.750153,45.057056,133.64182,0.0,404.60706,289.5944,334.6963,451.43616
0.0196,526.33887,491.412,0.0,376.01987,254.73122,219.33296,473.01794,59.73345,57.96958,129.67789,0.0,435.75333,312.7008,349.01083,473.01794
0.0198,531.5252,498.74155,0.0,407.434,263.98175,236.37323,493.21042,57.79295,70.45159,125.87199,0.0,465.22693,334.43332,362.2452,493.21042
0.02,533.1734,502.61273,0.0,437.8877,272.99585,254.14543,510.4008,54.775906,82.51128,119.71413,0.0,492.6636,355.5071,373.85956,510.4008
0.0202,531.2833,502.9608,0.0,467.94388,280.43967,272.0641,524.2984,50.560432,95.378235,110.94162,0.0,518.50433,375.81793,383.0057,524.2984
0.0204,525.88025,499.7979,0.0,497.23688,285.30063,288.95096,535.0597,45.503635,109.50203,100.330925,0.0,542.7405,394.80264,389.2819,535.0597
0.0206,517.0428,493.20078,0.0,524.49445,287.8758,304.19437,542.73126,40.002113,123.922676,88.74325,0.0,564.4966,411.79846,392.93762,542.73126
0.0208,504.91037,483.30005,0.0,548.42737,288.8401,317.54434,547.2432,34.345238,137.4179,76.80793,0.0,582.7726,426.258,394.35226,547.2432
0.021,489.68066,470.27374,0.0,568.40375,288.30502,328.72607,548.51,28.685595,149.53505,64.855865,0.0,597.08936,437.8401,393.58194,548.51
0.0212,471.60474,454.3435,0.0,584.54724,285.5728,337.31592,546.43427,23.037754,160.81902,52.91121,0.0,607.585,446.39185,390.2271,546.43427
0.0214,451.06122,435.7728,0.0,602.3753,271.2291,339.9149,539.5214,16.324045,180.84088,38.58727,0.0,618.69934,452.07,378.50214,539.5214
0.0216,428.73428,414.8848,0.0,623.11316,250.15344,344.1783,522.3761,4.7875166,207.08484,13.68887,0.0,627.9007,457.23828,357.8672,522.3761
0.0218,404.9926,392.09113,0.0,637.48193,235.7833,354.70398,495.97775,10.133024,225.06795,0.0,25.787209,627.34894,460.85123,354.70398,521.76495
0.022,380.02673,367.8453,0.0,643.21625,225.79195,365.2027,465.81445,24.691654,234.97519,0.0,57.7972,618.5246,460.76712,365.2027,523.61163
0.0222,354.0449,342.57666,0.0,643.03296,212.08853,368.32013,436.3975,36.352238,243.79953,0.0,83.45558,606.6807,455.88806,368.32013,519.853
0.0224,327.36865,316.66025,0.0,638.224,193.1764,363.3158,408.36142,44.998596,253.30125,0.0,102.51501,593.2254,446.47766,363.3158,510.87643
0.0226,300.39532,290.4279,0.0,628.03906,173.28189,354.16354,379.95627,51.888428,260.23276,0.0,117.71786,576.15063,433.51465,354.16354,497.67413
0.0228,273.5094,264.1921,0.0,612.54596,155.05775,343.85846,349.81693,58.1175,262.88034,0.0,131.45724,554.42847,417.93808,343.85846,481.27417
0.023,247.04039,238.25778,0.0,593.42883,137.24945,332.53043,317.84094,64.103905,263.09103,0.0,144.63795,529.3249,400.34048,332.53043,462.47888
0.0232,221.2731,212.919,0.0,572.2461,117.94324,319.4062,284.4051,69.88503,263.07004,0.0,157.34192,502.36102,381.01328,319.4062,441.747
0.0234,196.46269,188.44928,0.0,549.14655,97.17118,304.5148,249.68579,75.43264,262.88663,0.0,169.50583,473.71393,360.0578,304.5148,419.19162
0.0236,172.8333,165.09343,0.0,523.4464,76.11561,288.35025,213.77426,80.66089,261.34555,0.0,180.94345,442.78552,337.46118,288.35025,394.7177
0.0238,150.57144,143.06148,0.0,494.77338,55.330067,270.99164,176.94228,85.404434,257.85742,0.0,191.29243,409.36896,313.1875,270.99164,368.2347
0.024,129.82607,122.52474,0.0,463.35898,34.49342,252.13052,139.55669,89.51338,252.77353,0.0,200.22702,373.84558,287.26694,252.13052,339.7837
0.0242,110.711815,103.61362,0.0,429.60687,13.295572,231.65799,101.84211,92.965546,246.54134,0.0,207.69902,336.64133,259.8369,231.65799,309.54114
