Time,P_load3,P_load4,const_0V,delta1,delta2,delta3,delta4,factor1,factor2,factor3,factor4,sigma1,sigma2,sigma3,sigma4
2.3706,114.477486,114.56884,0.0,11.990718,1.6659113,0.042306077,17.88948,4.2798386,6.14896,9.389166,0.0,16.270555,7.8148713,9.431472,17.88948
2.3708,114.64723,114.70193,0.0,0.7784476,0.98115057,4.470445,7.9749355,3.7155204,0.0,0.0,0.0,4.493968,0.98115057,4.470445,7.9749355
2.371,114.68835,114.91168,0.0,12.686867,5.189229,0.026233852,7.767101,0.30455336,0.6499232,0.62115824,0.0,12.991421,5.8391523,0.6473921,7.767101
2.3712,114.65282,115.041725,0.0,20.990084,4.5575943,0.06819254,19.03173,2.845141,6.4737253,6.2286644,0.0,23.835224,11.03132,6.296857,19.03173
2.3714,114.56243,115.04934,0.0,25.64489,0.9452386,4.6520042,25.051664,3.310803,14.753014,7.2607846,0.0,28.955694,15.698252,11.912789,25.051664
2.3716,114.41695,114.9332,0.0,18.753698,4.996577,6.4497743,19.422964,2.2511382,7.995233,4.970222,0.0,21.004837,12.99181,11.419996,19.422964
2.3718,114.21765,114.717,0.0,3.101159,7.1672697,2.5368714,2.7495525,1.6635027,0.0,2.6908634,0.0,4.764662,7.1672697,5.227735,2.7495525
2.372,114.09466,114.525116,0.0,12.566041,1.3492113,2.7800405,8.551453,0.09571388,5.7450485,0.19343878,0.0,12.661755,7.0942597,2.9734793,8.551453
2.3722,114.148964,114.42657,0.0,11.102572,0.33320948,0.12141283,13.314253,2.7113054,6.242645,5.947716,0.0,13.813877,6.5758543,6.0691295,13.314253
2.3724,114.26695,114.45434,0.0,0.6325005,4.670101,0.71985835,9.750079,6.443338,0.0,6.6642823,0.0,7.0758386,4.670101,7.3841405,9.750079
2.3726,114.30878,114.548805,0.0,6.279547,1.9146897,2.657953,0.3609895,1.9490995,1.1628056,0.0,3.5054772,4.3304477,3.0774953,2.657953,3.8664668
2.3728,114.2855,114.62849,0.0,14.705298,2.023339,2.8272805,9.89996,0.16977827,6.0879455,0.3751913,0.0,14.875076,8.111284,3.2024717,9.89996
2.373,114.256256,114.65415,0.0,20.084581,0.76572967,5.903577,15.412756,0.5517654,11.568066,1.2364873,0.0,20.636347,12.333796,7.1400642,15.412756
2.3732,114.13512,114.61889,0.0,0.6670437,8.552317,3.5844564,6.073911,6.491167,0.0,3.8586314,0.0,7.1582108,8.552317,7.443088,6.073911
2.3734,113.97836,114.524956,0.0,21.144081,6.16858,5.6865087,5.996151,3.1991315,4.4176764,0.0,6.9627523,17.94495,10.586257,5.6865087,12.958903
2.3736,114.016716,114.43113,0.0,23.234474,0.58529896,7.9509115,15.244774,0.565566,13.585083,0.0,1.2238399,22.66891,14.1703825,7.9509115,16.468613
2.3738,114.26941,114.40428,0.0,16.190203,1.2619202,0.949879,20.245676,4.486803,8.060288,7.9649615,0.0,20.677006,9.322209,8.914841,20.245676
2.374,114.545235,114.5595,0.0,1.775234,2.686736,3.7259192,13.640983,6.245287,0.0,4.6463776,0.0,8.020521,2.686736,8.372297,13.640983
2.3742,114.699036,114.814064,0.0,7.827007,1.0467185,4.1886325,0.20883358,2.3568735,3.2687154,0.0,5.077389,5.4701333,4.315434,4.1886325,5.2862225
2.3744,114.74095,115.044785,0.0,16.96643,2.816986,1.5122947,14.1197,1.5356361,6.4078026,3.3598158,0.0,18.502068,9.224789,4.8721104,14.1197
2.3746,114.709305,115.16062,0.0,23.495947,4.38735,0.46106294,21.840939,3.3103175,8.241443,7.244804,0.0,26.806265,12.628793,7.705867,21.840939
2.3748,114.62487,115.14722,0.0,9.173714,7.2325816,3.930845,15.70737,3.306221,0.7543066,7.2530093,0.0,12.479935,7.9868884,11.183854,15.70737
2.375,114.477425,115.009865,0.0,4.7525077,6.641999,0.09583377,4.7981224,0.6292606,0.0,6.0536447,0.0,5.381768,6.641999,6.1494784,4.7981224
2.3752,114.35295,114.7782,0.0,6.142286,2.5333335,3.8053157,4.732881,0.21924509,2.029363,0.0,0.4279322,5.9230404,4.5626965,3.8053157,5.160813
2.3754,114.377235,114.616264,0.0,2.1911783,2.111164,1.6835916,9.505461,3.5522068,0.0,4.175746,0.0,5.743385,2.111164,5.8593373,9.505461
2.3756,114.44288,114.58927,0.0,6.89707,2.4386725,5.4775467,5.7837815,3.304618,0.83618945,0.0,0.0,3.5924523,3.2748618,5.4775467,5.7837815
2.3758,114.463425,114.67853,0.0,16.009865,3.2574587,5.4252787,4.623335,2.609698,5.234114,0.0,5.671713,13.4001665,8.491572,5.4252787,10.295048
2.376,114.38746,114.779205,0.0,6.8275967,4.412415,3.8028345,8.453112,1.0468879,1.2116774,2.323477,0.0,7.8744845,5.6240926,6.1263113,8.453112
2.3762,114.244194,114.783295,0.0,13.042674,8.003147,2.9951625,2.006504,4.0396557,0.0,2.8698614,4.7805223,9.003018,8.003147,5.8650236,6.7870264
2.3764,114.112495,114.665825,0.0,19.384956,1.1137078,9.494902,4.7314878,4.0499597,10.166971,0.0,8.801419,15.334997,11.280679,9.494902,13.5329075
2.3766,114.18729,114.52107,0.0,14.442171,0.735858,3.987118,12.00199,0.7744021,8.232564,1.7309743,0.0,15.216573,8.968422,5.7180924,12.00199
2.3768,114.40652,114.496864,0.0,1.7700142,1.0144498,4.4523163,12.417691,5.181793,0.42805713,2.4409451,0.0,6.9518075,1.4425069,6.8932614,12.417691
2.377,114.53983,114.64671,0.0,10.226386,1.5068096,6.1526217,1.1913862,3.7551186,4.1043687,0.0,5.754971,6.471267,5.6111784,6.1526217,6.9463573
2.3772,114.551544,114.84029,0.0,21.734833,6.789311,1.8266118,13.143123,0.11053825,3.9561417,0.25714275,0.0,21.845371,10.745453,2.0837545,13.143123
2.3774,114.49289,114.93169,0.0,6.906724,3.8029451,1.9925773,11.133887,2.3803463,1.7055701,5.22512,0.0,9.28707,5.5085154,7.217697,11.133887
2.3776,114.3745,114.90048,0.0,26.524736,16.409586,1.5441247,4.2744155,4.1885943,0.0,6.0942926,9.115331,22.336142,16.409586,7.6384177,13.389746
2.3778,114.25573,114.77445,0.0,35.6923,2.8389812,13.549233,14.837965,4.3735595,17.640472,0.0,9.510731,31.318739,20.479454,13.549233,24.348696
2.378,114.3688,114.63607,0.0,30.715952,5.138125,11.978051,24.371223,0.5791853,15.081551,1.3263509,0.0,31.295137,20.219675,13.304401,24.371223
2.3782,114.69106,114.639305,0.0,19.937511,1.6780772,0.4810999,27.060846,6.02587,10.909835,13.239298,0.0,25.96338,12.587912,13.720398,27.060846
2.3784,115.00437,114.8758,0.0,7.7410016,3.9407609,6.389664,15.726529,5.579248,0.0,0.0,0.0,13.32025,3.9407609,6.389664,15.726529
2.3786,115.14451,115.24574,0.0,6.388183,0.60352993,0.9923798,5.2841806,0.47054955,3.0006328,1.0173163,0.0,6.8587327,3.6041627,2.009696,5.2841806
2.3788,115.17845,115.54749,0.0,17.93934,3.9154403,2.993977,22.249102,5.2693477,5.523673,5.513985,0.0,23.208689,9.439114,8.507962,22.249102
2.379,115.164055,115.70607,0.0,26.52103,4.067645,2.0358806,30.935762,6.61215,10.46535,10.368818,0.0,33.133183,14.532995,12.404699,30.935762
2.3792,115.10045,115.71282,0.0,30.61074,1.9616791,4.476082,33.373463,5.4709826,17.07527,11.972859,0.0,36.081722,19.03695,16.448942,33.373463
2.3794,114.95747,115.582016,0.0,21.329077,4.826575,5.8491707,23.657454,3.4315271,9.684749,7.543356,0.0,24.760605,14.511323,13.392527,23.657454
2.3796,114.74492,115.333466,0.0,6.840927,11.333124,3.5276952,2.7618406,0.19155172,0.0,4.032454,0.0,6.6493754,11.333124,7.560149,2.7618406
2.3798,114.52098,114.98851,0.0,18.652187,1.114583,4.327328,13.794799,0.5104968,9.716654,1.0757295,0.0,19.162685,10.831237,5.4030576,13.794799
2.38,114.488014,114.66302,0.0,19.05752,2.2945302,1.1360302,25.844244,5.608196,9.959657,12.247881,0.0,24.665716,12.254187,13.383911,25.844244
2.3802,114.6037,114.603035,0.0,10.156601,3.4699342,2.5997143,23.606945,7.3410554,3.8582509,10.833874,0.0,17.497656,7.328185,13.433588,23.606945
2.3804,114.66961,114.747986,0.0,1.240707,0.5903916,3.3451183,9.012594,3.8041804,0.40251336,1.6046207,0.0,5.0448875,0.99290496,4.949739,9.012594
2.3806,114.644196,114.929726,0.0,10.310996,3.2254019,0.26703972,8.228575,1.0275869,1.8242233,1.7315356,0.0,11.338583,5.049625,1.9985752,8.228575
2.3808,114.552864,115.00016,0.0,21.269983,6.2597165,1.5890512,19.836164,3.4129212,4.366622,4.2964163,0.0,24.682905,10.626339,5.8854675,19.836164
2.381,114.46454,114.94222,0.0,21.461124,2.0875776,2.5696545,18.963596,2.2446642,10.136473,4.913913,0.0,23.705788,12.2240505,7.483567,18.963596
2.3812,114.39101,114.77751,0.0,9.63156,13.917385,6.739809,2.7047477,0.3077294,0.0,0.0,0.0,9.93929,13.917385,6.739809,2.7047477
2.3814,114.24928,114.6648,0.0,34.228966,13.40925,2.9436927,16.207193,1.5253975,2.5909936,0.0,3.3290308,32.703568,16.000244,2.9436927,19.536224
2.3816,114.22223,114.613785,0.0,34.813484,2.6255581,14.301587,21.074053,1.9574411,19.192047,0.0,4.276342,32.856045,21.817606,14.301587,25.350395
2.3818,114.455696,114.58338,0.0,27.063293,3.4811425,7.3392506,25.917814,2.80639,13.993491,6.207099,0.0,29.869684,17.474634,13.54635,25.917814
2.382,114.75412,114.704575,0.0,15.792548,0.32287782,0.8335891,21.134203,4.898891,9.10062,9.071995,0.0,20.691439,9.423498,9.905584,21.134203
2.3822,114.9127,114.94797,0.0,4.094946,0.18807673,0.41888377,6.3356953,1.6426747,2.376776,2.75784,0.0,5.7376204,2.5648527,3.1767237,6.3356953
2.3824,114.93498,115.17113,0.0,6.50143,3.0679893,3.1089697,9.185482,2.717339,0.0,0.0,0.0,9.218769,3.0679893,3.1089697,9.185482
2.3826,114.88263,115.27967,0.0,14.785485,3.6782203,3.4132059,19.247986,4.8812995,3.925172,3.848695,0.0,19.666784,7.603392,7.261901,19.247986
2.3828,114.78562,115.25654,0.0,21.347221,2.0354493,0.027391318,23.596064,4.5291758,10.0639305,9.912962,0.0,25.876396,12.09938,9.940353,23.596064
2.383,114.65274,115.108986,0.0,27.956139,1.0074412,5.1442685,23.840544,2.2858703,15.419931,5.043235,0.0,30.242008,16.427372,10.187503,23.840544
2.3832,114.510254,114.87043,0.0,23.788244,0.50672436,8.850942,14.088172,1.2829627,14.020962,0.0,2.8686466,22.505281,14.527686,8.850942,16.956818
2.3834,114.33588,114.69894,0.0,11.831384,13.837657,6.779063,5.7586894,1.0241055,0.0,0.0,0.0,12.855489,13.837657,6.779063,5.7586894
2.3836,114.12482,114.61125,0.0,33.068535,6.780437,8.42005,14.953551,2.7965996,10.771114,0.0,6.094028,30.271935,17.551552,8.42005,21.047579
2.3838,114.142654,114.52528,0.0,33.64846,2.6326747,13.160817,21.852777,1.2104436,18.503094,0.0,2.6371965,32.43802,21.135769,13.160817,24.489973
2.384,114.41188,114.49853,0.0,23.436337,3.481384,4.8820324,25.994202,4.0586333,11.816954,8.943904,0.0,27.49497,15.298338,13.825936,25.994202
2.3842,114.798584,114.67043,0.0,8.938686,1.741028,5.99149,19.897839,6.832722,3.073993,2.9982967,0.0,15.771409,4.815021,8.989787,19.897839
2.3844,115.052246,115.017784,0.0,6.67165,0.05642077,5.541619,2.1646552,3.2786195,3.9007645,0.0,2.7275608,3.3930302,3.9571853,5.541619,4.892216
2.3846,115.160255,115.36589,0.0,18.001348,0.46046716,3.0493698,16.367037,1.8771707,10.186407,4.0932803,0.0,19.87852,10.646874,7.14265,16.367037
2.3848,115.17462,115.594284,0.0,28.444115,4.032852,0.5330826,28.589138,4.826913,11.67804,10.542804,0.0,33.271027,15.710892,11.075887,28.589138
2.385,115.13139,115.67726,0.0,33.32098,0.035661627,4.418655,33.87671,5.0993943,19.987766,11.15659,0.0,38.420376,20.023428,15.575245,33.87671
2.3852,115.02048,115.6161,0.0,26.830946,4.6148047,6.9977083,28.066998,3.7474518,13.104021,8.225224,0.0,30.578398,17.718826,15.222932,28.066998
2.3854,114.84044,115.42568,0.0,6.104269,7.366122,4.3709087,11.248677,3.4189165,0.0,4.8130403,0.0,9.523186,7.366122,9.1839485,11.248677
2.3856,114.62664,115.12776,0.0,7.624715,1.4072688,1.4841673,4.7694087,0.07513097,2.690501,0.0,0.07779877,7.549584,4.0977697,1.4841673,4.8472075
2.3858,114.51096,114.77568,0.0,11.809376,1.0477893,0.5180036,17.825615,4.382281,6.4224234,8.514899,0.0,16.191656,7.470213,9.032903,17.825615
2.386,114.49597,114.60915,0.0,5.5951295,5.754335,1.0805981,18.633194,6.5894594,0.0,11.154313,0.0,12.184588,5.754335,12.234911,18.633194
2.3862,114.5029,114.63061,0.0,1.6308804,3.0586588,3.169101,9.064238,4.1687474,0.0,3.2068346,0.0,5.799628,3.0586588,6.3759356,9.064238
2.3864,114.4729,114.72363,0.0,11.923139,3.2485313,2.6188796,4.699442,1.1917225,2.7594218,0.0,2.5825887,10.731416,6.007953,2.6188796,7.2820306
2.3866,114.38275,114.77576,0.0,23.103743,5.780225,1.6078491,16.763027,1.2589767,6.103242,2.7873774,0.0,24.362719,11.883467,4.3952265,16.763027
2.3868,114.22564,114.71289,0.0,11.590233,4.7107058,4.2900834,13.96799,2.0687418,3.881549,4.572538,0.0,13.658976,8.592255,8.862621,13.96799
2.387,114.073265,114.575966,0.0,14.045549,12.579976,1.8353702,1.1347101,2.1458206,0.0,4.728912,4.652624,11.899729,12.579976,6.564282,5.787334
2.3872,113.98373,114.459946,0.0,21.191084,5.0757065,5.0554643,9.078513,1.9319863,5.935029,0.0,4.1909804,19.259098,11.0107355,5.0554643,13.269494
2.3874,114.01929,114.3675,0.0,13.653829,7.7034035,8.619307,13.26498,0.553483,3.1243498,1.2477068,0.0,14.207312,10.827754,9.867013,13.26498
2.3876,114.24552,114.35486,0.0,5.8229804,1.3733549,2.7692893,15.000266,5.000712,2.6358585,5.4168115,0.0,10.823692,4.0092134,8.186101,15.000266
2.3878,114.39122,114.48682,0.0,3.7303698,0.80327713,5.979938,5.45818,1.7250955,1.6729656,0.0,0.0,2.0052743,2.4762428,5.979938,5.45818
2.388,114.403496,114.68943,0.0,13.717919,1.5424565,2.5230188,10.085523,0.49094373,6.153813,1.0903828,0.0,14.208863,7.696269,3.6134017,10.085523
2.3882,114.338615,114.80523,0.0,22.735338,7.138592,1.5146856,20.241264,3.2344806,4.102226,4.047638,0.0,25.969818,11.240818,5.5623236,20.241264
2.3884,114.273865,114.795105,0.0,4.747449,5.316235,1.7859182,11.186048,3.5592844,0.0,6.362058,0.0,8.306733,5.316235,8.147977,11.186048
2.3886,114.185646,114.67182,0.0,22.81491,15.625164,1.3322978,6.3447995,2.0946734,0.0,4.606895,4.537779,20.720236,15.625164,5.939193,10.882579
2.3888,114.16331,114.55463,0.0,25.65641,1.5203736,7.4057136,15.929583,0.7047095,13.378573,0.0,1.5262567,24.9517,14.898948,7.4057136,17.45584
2.389,114.284,114.503685,0.0,20.386932,3.8477821,6.354632,19.934376,2.1175337,9.72794,4.667701,0.0,22.504465,13.575722,11.022332,19.934376
2.3892,114.53513,114.58217,0.0,10.894931,0.81548035,1.2041048,17.439257,4.580841,6.0426264,7.6441064,0.0,15.475772,6.8581066,8.848211,17.439257
2.3894,114.73487,114.791725,0.0,0.4145238,0.6346808,3.9045408,5.8738637,2.234348,0.0,0.0,0.0,2.648872,0.6346808,3.9045408,5.8738637
2.3896,114.810585,115.03521,0.0,12.683276,3.8962197,0.34171087,9.14189,0.75606394,2.3769894,1.6498381,0.0,13.43934,6.273209,1.991549,9.14189
2.3898,114.803406,115.193054,0.0,19.906645,1.7366129,1.2024772,20.134687,3.2746053,9.615305,7.164686,0.0,23.18125,11.351917,8.367164,20.134687
2.39,114.72692,115.2244,0.0,26.501497,3.753952,1.2846979,25.075165,3.7649486,10.894894,8.249224,0.0,30.266447,14.648846,9.533921,25.075165
2.3902,114.59505,115.12717,0.0,11.550225,3.8117902,2.946226,15.162086,2.7856622,4.479066,6.1275325,0.0,14.335887,8.290856,9.073758,15.162086
2.3904,114.429085,114.91429,0.0,14.583061,9.969618,0.76203674,4.026306,1.3729781,0.0,3.0483341,2.9288797,13.210083,9.969618,3.810371,6.955186
2.3906,114.31676,114.68087,0.0,24.910662,6.378137,2.698465,16.360014,0.5008427,6.44939,1.0635508,0.0,25.411505,12.827527,3.762016,16.360014
2.3908,114.31532,114.567474,0.0,19.026567,4.637056,6.812908,18.642303,1.8214202,8.3928385,3.9999774,0.0,20.847988,13.029894,10.812885,18.642303
2.391,114.489334,114.59979,0.0,9.069148,2.420401,0.17584185,15.204341,3.8452833,3.902038,8.425579,0.0,12.914432,6.322439,8.60142,15.204341
2.3912,114.604065,114.720146,0.0,1.9613425,1.2849056,2.5977805,4.646816,0.81926465,0.0,0.6248085,0.0,2.780607,1.2849056,3.222589,4.646816
2.3914,114.604065,114.87034,0.0,12.06011,1.6089128,1.6947366,9.400252,0.7384516,5.058007,1.6325414,0.0,12.798562,6.6669197,3.327278,9.400252
2.3916,114.51911,114.93526,0.0,22.933598,6.6796484,0.7772316,19.72657,2.8681443,4.811142,4.7357,0.0,25.801743,11.49079,5.512932,19.72657
2.3918,114.41408,114.87927,0.0,23.803303,1.4513179,3.7887213,20.561193,2.1357536,12.378768,4.6817374,0.0,25.939056,13.830086,8.470459,20.561193
2.392,114.31513,114.7273,0.0,6.230335,15.918368,8.400683,1.7040013,2.2277188,0.0,0.8044108,0.0,8.458054,15.918368,9.205093,1.7040013
2.3922,114.13389,114.61959,0.0,27.297554,10.264769,4.244598,10.07643,2.658594,2.6460888,0.0,5.7827487,24.63896,12.910857,4.244598,15.859179
2.3924,114.07582,114.53314,0.0,28.420368,4.4102197,14.185079,16.061861,2.5116117,14.1657095,0.0,5.465054,25.908756,18.57593,14.185079,21.526915
2.3926,114.28452,114.46365,0.0,22.31955,2.400508,5.1344495,22.444002,2.8897727,11.868008,6.3819585,0.0,25.209322,14.268516,11.516408,22.444002
2.3928,114.62411,114.56982,0.0,9.582984,2.0049632,5.3421426,19.145489,6.284356,3.116953,3.0873022,0.0,15.86734,5.1219163,8.429445,19.145489
2.393,114.82123,114.84408,0.0,3.8475978,0.9798639,5.1559377,3.3146095,2.9749625,1.6396792,0.0,0.0,0.87263536,2.619543,5.1559377,3.3146095
2.3932,114.88295,115.15213,0.0,17.86047,6.9562106,1.652142,14.665875,2.146677,1.4053149,1.3791058,0.0,20.007147,8.361526,3.0312479,14.665875
2.3934,114.88556,115.342415,0.0,23.833406,2.3800054,0.5184799,25.32743,4.555379,11.102701,9.953087,0.0,28.388784,13.482707,10.471567,25.32743
2.3936,114.82463,115.39282,0.0,27.32255,0.9665364,3.546288,29.37924,4.804089,15.766738,10.516232,0.0,32.12664,16.733274,14.062519,29.37924
2.3938,114.69007,115.30567,0.0,15.37344,6.974034,5.042509,21.129923,3.8672376,4.6777864,8.492521,0.0,19.240677,11.65182,13.535029,21.129923
2.394,114.49698,115.09461,0.0,3.3179808,4.652646,0.6263353,4.4022117,0.96058214,0.0,4.2366376,0.0,4.278563,4.652646,4.862973,4.4022117
2.3942,114.391106,114.783226,0.0,12.201269,2.5681956,0.19224824,11.898243,1.9822112,3.9081964,3.9347305,0.0,14.18348,6.476392,4.126979,11.898243
2.3944,114.385124,114.54739,0.0,9.232492,2.9235187,1.4560657,19.320377,5.679981,3.6386797,9.483173,0.0,14.912474,6.562198,10.9392395,19.320377
2.3946,114.39578,114.53448,0.0,3.4740043,2.903392,1.9894387,13.107413,4.6313567,0.21904518,6.1098275,0.0,8.105361,3.1224372,8.099266,13.107413
2.3948,114.34471,114.6079,0.0,4.3076925,3.89698,0.18928686,0.613951,1.0912786,0.0,2.372881,1.1350249,3.2164137,3.89698,2.5621676,1.748976
2.395,114.33174,114.67224,0.0,16.231758,5.927751,0.56673324,9.856794,0.26597974,1.7751515,0.5779522,0.0,16.497738,7.702903,1.1446854,9.856794
2.3952,114.33156,114.68051,0.0,21.077333,0.11131115,6.818414,13.856603,0.42265376,12.608878,0.0,0.9455465,20.65468,12.720189,6.818414,14.802149
2.3954,114.24541,114.65068,0.0,6.501231,13.853343,6.6586475,1.371202,0.7047551,0.0,1.3280491,0.0,7.2059865,13.853343,7.9866967,1.371202
2.3956,114.1119,114.634285,0.0,28.010006,8.595565,6.696007,8.889758,3.7164114,5.292641,0.0,8.098723,24.293594,13.8882065,6.696007,16.988482
2.3958,114.10237,114.555374,0.0,32.456562,0.04648754,12.466977,17.314898,2.5520532,19.45391,0.0,5.561814,29.904507,19.500397,12.466977,22.87671
2.396,114.34284,114.49922,0.0,23.924301,3.6945825,6.254618,24.307835,3.0560877,11.956795,6.752023,0.0,26.980389,15.651378,13.006641,24.307835
2.3962,114.6629,114.60667,0.0,13.3415985,1.3362999,3.3967335,21.308779,5.9575524,6.2726316,6.261922,0.0,19.29915,7.6089315,9.658655,21.308779
2.3964,114.84661,114.86874,0.0,0.6360988,1.5906173,1.6400261,6.4449387,3.3204172,0.0,2.5074303,0.0,3.956516,1.5906173,4.1474566,6.4449387
2.3966,114.91093,115.16432,0.0,10.2061615,4.627746,2.6594622,10.553528,2.372321,0.0,0.0,0.0,12.578482,4.627746,2.6594622,10.553528
2.3968,114.90767,115.34365,0.0,16.236546,0.35644513,0.85403776,21.625395,4.9949856,9.252104,9.205937,0.0,21.231531,9.608549,10.059976,21.625395
2.397,114.839386,115.385506,0.0,23.706364,0.55597,0.8780886,27.364353,5.302572,13.464107,11.601901,0.0,29.008936,14.020077,12.47999,27.364353
2.3972,114.72689,115.29128,0.0,28.931168,2.1325169,3.476174,26.583385,3.4253337,14.539104,7.5143976,0.0,32.356503,16.671621,10.990572,26.583385
2.3974,114.57164,115.08001,0.0,9.301693,5.128049,5.418366,9.672489,0.7045475,2.2686684,1.5960209,0.0,10.00624,7.396717,7.0143867,9.672489
2.3976,114.42614,114.79063,0.0,17.568182,12.919647,5.563855,12.291525,2.0498497,0.0,0.0,0.0,19.61803,12.919647,5.563855,12.291525
2.3978,114.29485,114.61685,0.0,23.251986,0.80275357,4.7990737,19.083818,1.4911525,12.898025,3.2394536,0.0,24.743137,13.700779,8.0385275,19.083818
2.398,114.36421,114.569916,0.0,16.632904,6.2024794,5.9887853,19.717796,2.886409,5.925904,6.3422475,0.0,19.519314,12.128384,12.331033,19.717796
2.3982,114.520454,114.618034,0.0,9.629326,0.09149253,1.4296072,14.903737,3.921586,5.70902,5.7151775,0.0,13.550911,5.800513,7.144785,14.903737
2.3984,114.59195,114.746475,0.0,1.1361598,0.12370931,2.060591,2.8259134,0.25014332,0.46262947,0.0,0.0,1.3863031,0.58633876,2.060591,2.8259134
2.3986,114.57784,114.88384,0.0,13.702986,5.0557666,0.9083905,10.908313,1.4620944,1.4334266,1.394569,0.0,15.16508,6.489193,2.3029597,10.908313
2.3988,114.503334,114.913376,0.0,23.814053,7.591105,0.61842275,19.057457,2.4041884,4.1179657,4.032912,0.0,26.21824,11.709071,4.6513343,19.057457
2.399,114.48062,114.83414,0.0,19.947412,2.1830537,7.720608,14.044095,0.2875209,10.57809,0.0,0.66741073,19.659891,12.761144,7.720608,14.711506
2.3992,114.373245,114.7457,0.0,8.541065,16.359245,8.16536,0.11490221,0.18239984,0.0,0.45515206,0.38247585,8.358665,16.359245,8.620512,0.49737808
2.3994,114.1936,114.70465,0.0,19.11252,5.2022977,6.280421,3.9605277,3.6639593,4.518626,0.0,7.976831,15.448562,9.720923,6.280421,11.937359
2.3996,114.14187,114.60849,0.0,15.463284,8.010857,12.668372,8.331873,2.466038,4.003691,0.0,5.351791,12.997245,12.014548,12.668372,13.683664
2.3998,114.34585,114.49554,0.0,7.3054333,4.88332,0.79824084,15.633357,4.2495713,1.1916105,9.341089,0.0,11.555004,6.07493,10.13933,15.633357
2.4,114.57448,114.560165,0.0,0.91583,4.1547713,9.993561,11.364978,4.56538,0.0,0.0,0.0,5.48121,4.1547713,9.993561,11.364978
2.4002,114.628624,114.78983,0.0,12.766327,0.015181922,5.4447665,5.7892504,1.5014144,7.629175,0.0,3.2199335,11.264913,7.644357,5.4447665,9.009184
2.4004,114.5717,114.99768,0.0,23.510647,5.034517,0.14294289,21.998829,3.4796886,7.371635,7.335374,0.0,26.990335,12.406152,7.478317,21.998829
2.4006,114.4737,115.07213,0.0,18.38205,1.0567771,0.89676434,23.347267,5.1886187,9.67328,9.561219,0.0,23.570667,10.730057,10.457984,23.347267
2.4008,114.3675,115.00239,0.0,9.118501,13.515674,1.234909,7.8670416,0.90138173,0.0,10.18537,0.0,10.019882,13.515674,11.4202795,7.8670416
2.401,114.32718,114.810234,0.0,16.780943,7.1338825,1.4815246,6.9976993,1.1427995,0.52790624,0.0,2.4359457,15.6381445,7.661789,1.4815246,9.433645
2.4012,114.3584,114.5956,0.0,12.1955595,3.1350944,1.9088959,16.939081,3.5180619,5.269533,7.694556,0.0,15.713621,8.404628,9.603452,16.939081
2.4014,114.418884,114.54371,0.0,6.9295425,3.636408,0.5035551,15.719591,4.62112,1.7865065,9.069471,0.0,11.550662,5.4229145,9.573027,15.719591
2.4016,114.466606,114.62375,0.0,1.1162115,4.1609783,0.63161784,6.545705,4.062551,0.0,4.9420943,0.0,5.1787624,4.1609783,5.5737123,6.545705
2.4018,114.46689,114.736664,0.0,9.613511,4.0092096,0.34632474,4.8951063,0.20713905,0.36192948,0.0,0.4437695,9.406372,4.371139,0.34632474,5.338876
2.402,114.456474,114.78951,0.0,18.887463,2.910789,3.0620296,13.312154,0.54933053,7.4139977,1.2144624,0.0,19.436792,10.324786,4.276492,13.312154
2.4022,114.40739,114.79319,0.0,16.331757,4.4904084,7.034112,14.412339,0.7381728,6.8542237,1.6476468,0.0,17.06993,11.344632,8.681759,14.412339
2.4024,114.258705,114.72778,0.0,4.4290733,9.631818,2.7155604,4.6900024,2.399174,0.0,4.8095083,0.0,6.8282475,9.631818,7.5250688,4.6900024
2.4026,114.10958,114.63676,0.0,15.309858,3.026923,6.203123,2.6757874,3.3511124,5.1315694,0.0,7.2856774,11.958746,8.158492,6.203123,9.961465
2.4028,114.16382,114.52838,0.0,11.402312,4.4725385,6.034128,10.163742,0.328588,3.9092054,0.75975615,0.0,11.730901,8.381744,6.7938843,10.163742
2.403,114.39487,114.50822,0.0,3.7707593,0.4226113,4.6820755,13.037712,5.044287,1.7233273,1.6839898,0.0,8.815046,2.1459386,6.3660655,13.037712
2.4032,114.54239,114.637146,0.0,7.861917,2.683824,5.2433047,4.3839717,4.300864,1.1081563,0.0,0.5721195,3.5610528,3.7919805,5.2433047,4.9560914
2.4034,114.564964,114.81181,0.0,15.189365,1.356841,4.3380203,8.689296,0.6919111,7.2733984,0.0,1.4757798,14.497454,8.6302395,4.3380203,10.165075
2.4036,114.496765,114.94339,0.0,18.28547,1.1880543,1.5764477,18.266237,2.816519,9.412297,6.180144,0.0,21.101988,10.600351,7.756592,18.266237
2.4038,114.37235,114.947845,0.0,2.6705344,7.8402066,0.45293003,10.147555,5.9788923,0.0,8.919539,0.0,8.649426,7.8402066,9.37247,10.147555
2.404,114.24516,114.82043,0.0,16.874056,4.840845,6.0697336,2.080006,3.8859963,3.6528842,0.0,8.429204,12.988059,8.49373,6.0697336,10.50921
2.4042,114.30356,114.61395,0.0,16.990984,2.5356383,1.4977579,14.619728,1.7072802,6.8274374,3.759029,0.0,18.698265,9.363076,5.256787,14.619728
2.4044,114.42988,114.5627,0.0,6.828296,4.875346,0.47770157,15.651971,4.4313,0.900836,9.683287,0.0,11.259596,5.776182,10.160989,15.651971
